geneID	min	max	mean	sd	overQC
Region5086	5.51865326566757	5.9061409926065	5.73899148038328	0.123549416970077	12
Region5087	6.09533471984468	7.18846524723823	6.72500666216147	0.412750478162707	12
Region5088	6.40205964481661	7.61948295213046	7.14719774397985	0.495928499040179	12
Region5089	6.26845561197633	7.47006996196302	7.09081403735853	0.399899242093276	12
Region509	8.36892100334731	9.51487262413043	8.92801165098733	0.516536112815663	12
Region5090	6.33900850133273	7.56491908432246	6.97154501103321	0.476066488618314	12
Region5091	6.20833075999745	6.99899236707756	6.68624182241165	0.237909007977767	12
Region5092	6.94936094252823	7.44860838194416	7.14049656170128	0.145186686939525	12
Region5093	7.08014139553044	7.47116705587731	7.26147133323662	0.118553394449002	12
Region5094	6.85540122111242	7.52056805718142	7.22371753604176	0.224761806333207	12
Region5095	9.2373302196281	9.61138886622749	9.39070666865275	0.147463367008547	12
Region5096	7.1279884713682	7.80558382711962	7.48163281145624	0.20072939992225	12
Region5097	7.08020583585544	7.99403563731863	7.34130221895612	0.245805293952959	12
Region5098	6.57087938064579	7.11020154632332	6.89166757159878	0.183579554876386	12
Region5099	6.51017928399348	6.93192617749343	6.7032929532273	0.134669015213814	12
Region510	6.41052253494427	7.06589708116896	6.78068191783015	0.260926314142283	12
Region5100	5.43820614847708	7.35521270938761	6.68891475418043	0.742898129920786	12
Region5101	6.40458889376266	7.40598041475475	7.07462002757829	0.278820267330083	12
Region5102	5.38137880549201	6.9109645321561	6.39285077423719	0.620533258360323	12
Region5103	5.62851575137965	6.73219680721354	6.37431718002194	0.391475796551602	12
Region5104	6.8741902706005	7.5001631895522	7.26550571940851	0.172555059359896	12
Region5105	6.34134001522846	7.291010379637	6.99017579399655	0.275041919306815	12
Region5106	7.21454043996069	7.72306840258176	7.42873291227229	0.146168192740879	12
Region5107	7.39917146116137	7.79885286653191	7.54965657030663	0.116597951908696	12
Region5108	5.96395650936373	6.51666224005445	6.29355635801274	0.147882615924797	12
Region5109	9.41053964202874	10.1316139373258	9.70088909811156	0.27501710257244	12
Region511	7.43656632569452	8.43474631004596	7.91302692790425	0.337861054639226	12
Region5110	7.51139806197271	8.0627646648942	7.78812124986545	0.151269979171942	12
Region5111	7.74657042300021	8.08788447587149	7.92620043720636	0.132963598276094	12
Region5112	5.6740196176851	6.91403481393329	6.41124219242773	0.501501451357505	12
Region5113	7.48862743998667	8.19262403628674	7.88952113133221	0.269704090446205	12
Region5114	6.34772859770418	7.15016765171127	6.81137814390853	0.238220400991457	12
Region5115	6.33595150625874	7.03643109051307	6.79024205160099	0.214918570551239	12
Region5116	6.69893966426019	7.15985816545993	6.95016904458674	0.142559541823001	12
Region5117	7.21210177671726	7.50425005509313	7.37476025838305	0.0826599090168204	12
Region5118	7.60767191193948	8.17779198670901	7.83856896973358	0.199957213441432	12
Region5119	7.85355263760798	8.31409803399093	8.06976558715152	0.145007286972872	12
Region512	6.72562123204468	7.06354771202887	6.90254811257192	0.101567384622173	12
Region5120	8.90746056759181	9.1851888637016	9.10351342012169	0.0912233089941692	12
Region5121	8.34526527886178	9.10284070117718	8.68419067728784	0.334105884114843	12
Region5122	8.34255418302338	8.88240260150077	8.56569666417869	0.147326583299913	12
Region5123	6.48692616593948	7.8808564684047	7.3889439884341	0.50107297880069	12
Region5124	6.27818472986643	6.96318380302407	6.65239970868704	0.164492214344476	12
Region5125	5.64207514264794	6.71710060515946	6.34787113385557	0.337996448630173	12
Region5126	7.4341608074496	7.74594714577312	7.59407341273149	0.105704728631107	12
Region5127	7.25767599223555	7.91784591512527	7.56599050381761	0.154697676068736	12
Region5128	6.27440427105398	6.65506824406208	6.50363653884505	0.112655215401991	12
Region5129	6.52743168104405	7.35072366148084	7.03174700027727	0.257805188606532	12
Region513	7.25967862900201	7.49789867482867	7.3385077053881	0.0650265312138235	12
Region5130	7.01334258167502	7.48637849618454	7.28677414746493	0.134864122461715	12
Region5131	8.36939460040757	8.72068519540094	8.57931909680019	0.0903259041052592	12
Region5132	6.46993606210292	7.39177844126428	7.11178650127661	0.244741001056215	12
Region5133	7.29789677383402	7.69720050507976	7.5815749283671	0.117392350474182	12
Region5134	8.20867375724042	8.99021826320051	8.59043099977596	0.342416491445264	12
Region5135	6.8231057391745	7.58711533770991	7.37012415218549	0.250026481645967	12
Region5136	9.56216608465766	10.3230225180234	9.9192820678077	0.347802058780176	12
Region5137	7.24188450051719	8.37132978966824	7.84464431664499	0.354922449792367	12
Region5138	6.57429972758879	7.24079482738076	7.01213156781504	0.22125744917905	12
Region5139	5.81687157215156	6.71951299594784	6.32364894483058	0.36768283917723	12
Region514	5.94614158942457	6.69095274206535	6.41123810926991	0.271237967283451	12
Region5140	7.22270286610726	8.39852071124901	7.66740248283827	0.358493543957026	12
Region5141	8.06943478336175	8.71152614533312	8.36776748564817	0.291142371416436	12
Region5142	6.03076921296609	6.53418630436547	6.22474350345	0.17565120691468	12
Region5143	5.70434524269085	6.52335913206827	6.24918460601663	0.309770416614779	12
Region5144	5.76167710379949	7.15857564735125	6.79221224933121	0.439669079741836	12
Region5145	6.41762332203627	7.33373340381737	7.0910715667902	0.314314657267006	12
Region5146	6.5498400919091	7.52705963715234	7.09951279240122	0.318947370233613	12
Region5147	5.78489607990046	7.05605022888714	6.53649636243917	0.39344626846952	12
Region5148	6.48916236977711	7.82359559450934	7.20108850109812	0.417476671623773	12
Region5149	5.90294590973258	6.7207814273816	6.44222061642671	0.329536855726609	12
Region515	5.92373409883984	7.13608885590406	6.75791870982809	0.422168452878722	12
Region5150	5.46856288013526	7.44541696238127	6.68468020426744	0.722092418959185	12
Region5151	8.08136939146728	8.47523543056276	8.34675760564096	0.115269406084225	12
Region5152	7.20807094479231	7.62732969135745	7.38468508609546	0.13166750300599	12
Region5153	8.48951732264712	8.85886936787961	8.67568779387079	0.10900947744966	12
Region5154	8.33315001153277	8.99982467675377	8.63048606739887	0.250612628885166	12
Region5155	7.4862671108175	8.31149872440666	7.94084850535047	0.254807072039472	12
