geneID	ATAC_region	ATAC_factor	ATAC_direction	Time	Gd7	Toll10b	Toll9
FBgn0022740	Region6154	Toll10b	Up	-0.112297552897028	-1.82149689746861	3.45698589465401	-2.52135589748333
FBgn0259211	Region6165	Toll10b	Down	1.29385409873481	1.40723367721275	-2.17681250374792	1.27392993585356
FBgn0003067	Region6286	Gd7	Up	-0.820513265740494	2.34752823712335	-1.58918713242255	-0.66134170376191
FBgn0003067	Region6287	Gd7	Up	-0.865280645524528	1.89860132969841	-1.70415651624495	0.0366835005082286
FBgn0003067	Region6289	Gd7	Up	-0.20301589471094	2.46132216747304	-1.30763569692771	-1.18268808375438
FBgn0050115	Region6298	Toll10b	Up	-1.64376333018345	-1.18207597370707	2.19771587296167	-1.57386434472457
FBgn0050115	Region6304	Toll10b	Up	1.0766723940228	-0.787804575665624	2.05282853989852	-1.85143274861815
FBgn0034476	Region6476	Gd7	Down	0.747328316070655	-2.33355449913248	0.92352440271819	1.55279136904085
FBgn0034479	Region6497	Toll9	Up	0.827269768926806	-0.552216473564729	-1.23701210213874	2.35355617087365
FBgn0034479	Region6502	Toll9	Up	-0.778880083271362	-0.423948792424817	-1.17410770049281	2.11310566657291
FBgn0034479	Region6519	Toll9	Up	0.996237131705329	-2.79353435459211	-0.0619445867466051	3.45193322239388
FBgn0034479	Region6521	Toll9	Up	-1.30996631170106	-1.3550856044095	-0.423978403560263	2.21197759716418
FBgn0034501	Region6574	Gd7	Up	0.322403397625715	2.4313042492428	-1.52646284176784	-0.847914855187777
FBgn0011674	Region6639	Toll9	Up	1.65564998691819	-1.34186112919248	-0.0953742121880773	1.74765736470259
FBgn0000044	Region6664	Toll10b	Up	0.613870935536276	-1.46966316188457	2.20190368137009	-1.23291237030746
FBgn0000395	Region6755	Gd7	Up	-1.30501333892428	2.27448619414094	-1.29045710750312	-0.980910512022613
FBgn0000395	Region6756	Gd7	Up	0.422032843180415	1.85866619221777	-1.60070606457857	-0.0563351984385096
FBgn0000395	Region6757	Gd7	Up	-1.48874939139149	2.28066054481864	-1.71482317274807	-0.40930752717424
FBgn0000395	Region6758	Gd7	Up	-0.619621073322465	2.46214686057641	-1.90620536942275	-0.366936363136508
FBgn0000395	Region6759	Gd7	Up	-1.24292645338608	2.18171928854906	-1.0104889601738	-1.25110187533448
