geneID	sampleID	rlog	sampleName	sampleInfo	Genotype	Replicate	Input	sample
FBtr0077712	Gd7_R1_CBP	5.88690734607481	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077739	Gd7_R1_CBP	6.4193745459834	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0334162	Gd7_R1_CBP	5.0432119896322	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0330716	Gd7_R1_CBP	6.65368574388022	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0330717	Gd7_R1_CBP	7.814004321425	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0335125	Gd7_R1_CBP	7.24286908805086	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0330718	Gd7_R1_CBP	8.8107129435159	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077714	Gd7_R1_CBP	8.9762992048923	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0100383	Gd7_R1_CBP	7.03780436636397	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0335127	Gd7_R1_CBP	7.15256779789549	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077721	Gd7_R1_CBP	5.64686535807155	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0113017	Gd7_R1_CBP	4.63095294536604	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077723	Gd7_R1_CBP	3.06666219684208	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0335130	Gd7_R1_CBP	3.34172230635304	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077687	Gd7_R1_CBP	4.3413975883502	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077686	Gd7_R1_CBP	6.74058879149871	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077626	Gd7_R1_CBP	7.46201139259828	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077627	Gd7_R1_CBP	7.2018477781443	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077685	Gd7_R1_CBP	6.59884693702646	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077629	Gd7_R1_CBP	7.5753728135796	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077684	Gd7_R1_CBP	6.9074448256983	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077631	Gd7_R1_CBP	7.15825658004191	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0332459	Gd7_R1_CBP	8.08299248397738	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077680	Gd7_R1_CBP	6.3685717799609	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0290039	Gd7_R1_CBP	6.06877897046457	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0290041	Gd7_R1_CBP	1.74433096674655	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0290238	Gd7_R1_CBP	5.33222310170637	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077678	Gd7_R1_CBP	6.7103442900322	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077641	Gd7_R1_CBP	6.64012845400864	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077677	Gd7_R1_CBP	6.05503276174392	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0305980	Gd7_R1_CBP	6.22150640140928	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
